id,album,artist,title,2024-09-29
35052,"Famicom Tantei Club Part II: Ushiro ni Tatsu Shoujo","Kenji Yamamoto","Staff Roll",
35054,"Famicom Tantei Club Part II: Ushiro ni Tatsu Shoujo","Kenji Yamamoto","Ayumi",
35056,"Famicom Tantei Club: Kieta Koukeisha","Hiromi","Truth",
35057,"Famicom Tantei Club: Kieta Koukeisha","Hiromi","Investigation",
35058,"Famicom Tantei Club: Kieta Koukeisha","Hiromi","Staff Roll",
35059,"Famicom Tantei Club: Kieta Koukeisha","Hiromi","Title",
35060,"Famicom Mukashi Banashi: Yuuyuuki","Soyo Oka","Outside the Ship, Lounge BGM",
35061,"Famicom Mukashi Banashi: Yuuyuuki","Soyo Oka","TOKYO BGM",
35062,"Famicom Mukashi Banashi: Yuuyuuki","Soyo Oka","Ending BGM",
35063,"Famicom Mukashi Banashi: Yuuyuuki","Soyo Oka","Hawaii BGM",
35064,"Famicom Mukashi Banashi: Yuuyuuki","Soyo Oka","Name Entry BGM",
35065,"Famicom Mukashi Banashi: Yuuyuuki","Soyo Oka","Siberia - Inside the House BGM",
35066,"Famicom Mukashi Banashi: Yuuyuuki","Soyo Oka","GO WEST! BGM",
35067,"Famicom Mukashi Banashi: Yuuyuuki","Soyo Oka","High Old Chinese Restaurant BGM",
35068,"Famicom Mukashi Banashi: Yuuyuuki","Soyo Oka","Quiz BGM",
35069,"Famicom Mukashi Banashi: Yuuyuuki","Soyo Oka","Woman Village BGM",
3507,"Ratchet & Clank: Going Commando","David Bergeaud","Swampy (Boss 1)",
35071,"The Lone Ranger","Kozo Nakamura, Tomoya Tomita, Kenichi Matsubara, Yoshinori Sasaki, Satoko Minami, Kenichiro Fukui","Butch's Armored Locomotive",
35072,"The Lone Ranger","Kozo Nakamura, Tomoya Tomita, Kenichi Matsubara, Yoshinori Sasaki, Satoko Minami, Kenichiro Fukui","Native American Camp",
35073,"The Lone Ranger","Kozo Nakamura, Tomoya Tomita, Kenichi Matsubara, Yoshinori Sasaki, Satoko Minami, Kenichiro Fukui","Doctor",
35074,"The Lone Ranger","Kozo Nakamura, Tomoya Tomita, Kenichi Matsubara, Yoshinori Sasaki, Satoko Minami, Kenichiro Fukui","Enemy Encounter",
35076,"The Lone Ranger","Kozo Nakamura, Tomoya Tomita, Kenichi Matsubara, Yoshinori Sasaki, Satoko Minami, Kenichiro Fukui","Overworld",
35077,"The Lone Ranger","Kozo Nakamura, Tomoya Tomita, Kenichi Matsubara, Yoshinori Sasaki, Satoko Minami, Kenichiro Fukui","Mountain / Mine Stage",
35078,"The Lone Ranger","Kozo Nakamura, Tomoya Tomita, Kenichi Matsubara, Yoshinori Sasaki, Satoko Minami, Kenichiro Fukui","Opening [The William Tell Overture]",
35079,"The Lone Ranger","Kozo Nakamura, Tomoya Tomita, Kenichi Matsubara, Yoshinori Sasaki, Satoko Minami, Kenichiro Fukui","Mansion / Hideout Stage",
