id,album,artist,title,rating,rating_percentile
25696,"Castlevania: The Dracula X Chronicles","Yasuhiro Ichihashi","Moon Fight",4.297561,57.69818672261352
25626,"UUDDLRLRBAStart","The Kode","Metroid",4.226923,57.69518956990859
25709,"Jazz Jackrabbit 2","Basheman","Medieval Rave",4.1964912,57.69219241720366
25665,"La-Mulana","Lemonectric","Sakit Chills Out",4.1793103,57.68919526449873
25625,"UUDDLRLRBAStart","The Kode","Contra",4.1789474,57.68619811179379
2569,"Metropolis Street Racer","Richard Jacques","Club Paris",4.1775,57.683200959088865
25646,"Ori and the Blind Forest","Gareth Coker","The Crumbling Path",4.172,57.680203806383936
25686,"Black Mesa","Joel Neilsen","End Credits Part 1",4.1714287,57.677206653679
25701,"Toukiden","Hideki Sakamoto","Kazekiri -Windshredder-",4.1659575,57.67420950097407
25643,"Ori and the Blind Forest","Gareth Coker, Rachel Mellis","Naru, Embracing the Light",4.161905,57.671212348269144
25624,"UUDDLRLRBAStart","The Kode","Mike Tyson's Punch-Out",4.1608696,57.66821519556421
25614,"Hello World: Adventures in Mushroomland","Super Marcato Bros., Karl Brueggemann, Will Brueggemann, Marty Brueggemann","Lower the Drawbridge (Fortress)",4.16,57.66521804285928
2567,"Metropolis Street Racer","Richard Jacques","Freeway",4.1573772,57.66222089015436
25664,"Shin Megami Tensei: Devil Children Red/Black Book","Tomoyuki Hamada, Hiro Takahashi, Achilles C. Damigos","Zig-Zag (Karaoke)",4.1463413,57.65922373744943
25659,"Puyo Puyo!! 20th Anniversary","Hideki Abe","Fly over the dimension (Ecolo's Theme)",4.145946,57.656226584744495
25676,"Shin Megami Tensei II","Andy Vinter","Club World",4.075472,57.653229432039566
2562,"Blood of Bahamut","Naoshi Mizuta","Time to Counterattack",4.070833,57.65023227933463
25623,"UUDDLRLRBAStart","The Kode","Super Mario Brothers",4.0666666,57.6472351266297
25681,"ToeJam & Earl","FFmusic Dj, Geoffrey Taucer","Killer Toe Funk",4.0630136,57.644237973924774
25687,"Black Mesa","Joel Neilsen","Forget About Freeman",4.0488887,57.64124082121984
25649,"Perfect Service","Rush Coil","Fun and Games",4.0117645,57.63824366851491
25700,"Toukiden","Hideki Sakamoto","Heroic Charge",4.008333,57.63524651580998
25702,"Toukiden","Hideki Sakamoto","Melodies of Nakatsukuni II",4,57.632249363105046
25653,"Puyo Puyo!! 20th Anniversary","Hideki Abe","Nebula step (Klug's Theme)",3.9891891,57.62925221040012
25705,"Toukiden","Hideki Sakamoto","The Demoning Hour",3.9870968,57.62625505769519
25655,"Puyo Puyo!! 20th Anniversary","Hideki Abe","Surge of Crimson Shouts!",3.973913,57.623257904990254
25690,"Black Mesa","Joel Neilsen","Questionable Ethics 1",3.965,57.620260752285326
25648,"Perfect Service","Rush Coil","Fairgrounds",3.955,57.617263599580404
25697,"Toukiden","Hideki Sakamoto, TEKARU, Kenji Nakajo","Demon Slayer (TEKARU feat. Kenji Nakajo)",3.945946,57.614266446875476
25663,"Shin Megami Tensei: Devil Children Red/Black Book","Tomoyuki Hamada, Hiro Takahashi, Achilles C. Damigos","Unpublished Tune (Arrange Ver.)",3.9388888,57.61126929417054
257,"Split/Second","Steve Emney","Split/Second - Main Theme",3.9368422,57.60827214146561
2568,"Metropolis Street Racer","Richard Jacques","Sold Out",3.9307692,57.60527498876068
25642,"Donkey Kong Country 2: Diddy's Kong Quest","Light Pillar","All Aboard the Glitter Express",3.9173913,57.60227783605575
25639,"Demon's Crest","Megalixir","Metropolis Pt. 3: Scenes from a Demon Realm",3.9152544,57.59928068335082
25630,"UUDDLRLRBAStart","The Kode","Paperboy",3.9058824,57.596283530645884
25656,"Puyo Puyo!! 20th Anniversary","Hideki Abe","Fun Puyo Puyo Hell! (Challenge Competition)",3.9052632,57.593286377940956
25704,"Toukiden","Hideki Sakamoto","Relief",3.9,57.59028922523603
25647,"Perfect Service","Rush Coil","The Docks",3.8976743,57.58729207253109
2566,"Blood of Bahamut","Naoshi Mizuta","A Steady Beast",3.8952382,57.58429491982616
25698,"Toukiden","Hideki Sakamoto","Demon Slayer",3.895,57.58129776712123
25640,"Mega Man & Bass","RoBKTA","Monsieur Mega",3.8693879,57.5783006144163
25673,"Lagrange Point","Konami Kukeiha Club","Searching for the Promise Land (Arrange)",3.86875,57.57530346171137
25654,"Puyo Puyo!! 20th Anniversary","Hideki Abe","The Untrained Demon King Ultimate Legend",3.8592594,57.57230630900645
25699,"Toukiden","Hideki Sakamoto","Fellow",3.848276,57.569309156301514
25658,"Puyo Puyo!! 20th Anniversary","Hideki Abe","Final Pair DeathMatch!! (Last Battle)",3.8421052,57.566312003596586
25706,"Toukiden","Hideki Sakamoto","Utakata",3.84,57.56331485089166
25616,"Hello World: Journey to Dino Island","Super Marcato Bros., Karl Brueggemann, Will Brueggemann, Marty Brueggemann","The Caves of Mr. Mole (Underground)",3.832,57.56031769818672
25651,"Puyo Puyo!! 20th Anniversary","Hideki Abe","Her dream is to be a fantastic sorceress (Amitie's Theme)",3.8121212,57.557320545481794
25688,"Black Mesa","Joel Neilsen","On a Rail 1",3.8121212,57.554323392776865
25615,"Hello World: Journey to Dino Island","Super Marcato Bros., Karl Brueggemann, Will Brueggemann, Marty Brueggemann","Castle Island",3.7833333,57.55132624007193
25670,"Blue Almanac","Noriyuki Iwadare","Battle",3.7733333,57.548329087367
25707,"Toukiden","Hideki Sakamoto","Yatononushi -Nightblade-",3.755,57.54533193466207
25641,"Mega Man 2","Deedubs","Flash Man and the Sorcerer's Stone Man",3.7545455,57.54233478195714
25635,"Monster Hunter Compilation \"RE:\"MIX Chiptune","Hige Driver","Proof of a Hero (Hige Driver Remix)",3.7482758,57.53933762925221
25674,"Lagrange Point","Konami Kukeiha Club","THE RESURRECTION OF SABBATH (Arrange)",3.7448275,57.536340476547274
25666,"Monarch: Heroes of a New Age","AYAKI, GENTLE LOVE, Norihiko Hibino","Gentle Oblivion",3.7436619,57.533343323842345
25619,"Hello World: Journey to Dino Island","Super Marcato Bros., Karl Brueggemann, Will Brueggemann, Marty Brueggemann","Monkey See, Monkey Do (Watermelon Hill)",3.74,57.53034617113742
25617,"Hello World: Journey to Dino Island","Super Marcato Bros., Karl Brueggemann, Will Brueggemann, Marty Brueggemann","Roll Egg, Roll (Coconut Grove)",3.7357142,57.527349018432496
25632,"UUDDLRLRBAStart","The Kode","Spring Yard Zone (Sonic)",3.7255814,57.52435186572756
25689,"Black Mesa","Joel Neilsen","Surface Tension 4",3.7212121,57.52135471302263
25684,"Demon's Souls","RoeTaKa","Let Strength Be Granted",3.7127273,57.5183575603177
25631,"UUDDLRLRBAStart","The Kode","Ken Griffey Jr. MLB",3.6814816,57.51536040761277
2563,"Blood of Bahamut","Naoshi Mizuta","Legend",3.6457143,57.51236325490784
25620,"Hello World: Journey to Dino Island","Super Marcato Bros., Karl Brueggemann, Will Brueggemann, Marty Brueggemann","To the Top of Mount Eek (Map 2)",3.6434782,57.50936610220291
25679,"Star Command ~Kurayami no Shinryakusha~","Koichi Sugiyama","An Invitation",3.6242423,57.506368949497976
25669,"Blue Almanac","Yoshiaki Kubotera","Bipartite Planet Sharil Daril",3.6181817,57.50337179679305
25629,"UUDDLRLRBAStart","The Kode","Demon Seed (Castlevania 3)",3.6133332,57.50037464408811
25675,"Lagrange Point","Konami Kukeiha Club","Orange Party (Arrange)",3.6058824,57.49737749138318
25628,"UUDDLRLRBAStart","The Kode","Double Dragon",3.5884616,57.494380338678255
25657,"Puyo Puyo!! 20th Anniversary","Hideki Abe","This Experiment, Life (Risukuma's Theme)",3.5833333,57.49138318597332
25650,"Perfect Service","Rush Coil","Outdoor Festival",3.5421052,57.48838603326839
25662,"Shin Megami Tensei: Devil Children Red/Black Book","Tomoyuki Hamada, Hiro Takahashi, Achilles C. Damigos","Battle Theme 2 (Red Book)",3.5259259,57.48538888056346
25680,"Star Command ~Kurayami no Shinryakusha~","Koichi Sugiyama","Epilogue: Forever Galaxy",3.50625,57.48239172785854
25685,"Black Mesa","Joel Neilsen","Blast Pit 3",3.5,57.479394575153606
25660,"Shin Megami Tensei: Devil Children Red/Black Book","Tomoyuki Hamada, Hiro Takahashi, Achilles C. Damigos","Reality Theme (Black Book)",3.4848485,57.47639742244868
25618,"Hello World: Journey to Dino Island","Super Marcato Bros., Karl Brueggemann, Will Brueggemann, Marty Brueggemann","Try to Keep Up! (Athletic)",3.4689655,57.47340026974375
2565,"Blood of Bahamut","Naoshi Mizuta","Feral Ifrit",3.4666667,57.47040311703881
25678,"Star Command ~Kurayami no Shinryakusha~","Koichi Sugiyama","Starship Battles",3.4242425,57.467405964333885
25661,"Shin Megami Tensei: Devil Children Red/Black Book","Tomoyuki Hamada, Hiro Takahashi, Achilles C. Damigos","Battle Theme 3 - Event (Black Book)",3.4142857,57.46440881162896
25671,"Blue Almanac","Noriyuki Iwadare","~Epilogue~",3.4,57.46141165892402
25668,"Blue Almanac","Masanori Hikichi","Planet Lotos",3.3586206,57.45841450621909
25672,"Blue Almanac","Hiroshi Fujioka","Planet Dag Narada",3.35625,57.45541735351416
25621,"Hello World: Journey to Dino Island","Super Marcato Bros., Karl Brueggemann, Will Brueggemann, Marty Brueggemann","The Legendary Baby Brawl",3.3172414,57.45242020080923
25622,"Hello World: Journey to Dino Island","Super Marcato Bros., Karl Brueggemann, Will Brueggemann, Marty Brueggemann","Happily Ever After",3.3,57.4494230481043
25677,"Shin Megami Tensei II","Mike Townend","Battle",3.2682927,57.446425895399365
25683,"3D Pinball: Space Cadet","Sir Jordanius","Inter5tellar 5a5uke 5ever",2.89,57.44342874269444
25703,"Toukiden","Hideki Sakamoto","Musuhi",,57.4404315899895
25731,"Crypt of the NecroDancer","Danny Baranowsky","Disco Descent (1-1)",4.7244444,57.43743443728459
25735,"Crypt of the NecroDancer","Danny Baranowsky","Mausoleum Mash (1-3)",4.7090907,57.43443728457965
25732,"Crypt of the NecroDancer","Danny Baranowsky","Crypteque (1-2)",4.6868687,57.43144013187472
25746,"FTL: Faster Than Light","Little V","Faster Than Rock",4.509402,57.428442979169795
25742,"Crypt of the NecroDancer","Danny Baranowsky, FamilyJules7x","March of the Profane (3-2 Hot)",4.5,57.42544582646486
25738,"Crypt of the NecroDancer","Danny Baranowsky","Deep Sea Bass (Coral Riff)",4.4864864,57.42244867375993
25741,"Crypt of the NecroDancer","Danny Baranowsky","Dance of the Decorous (3-2 Cold)",4.4545455,57.419451521054995
25743,"Crypt of the NecroDancer","Danny Baranowsky","Heart of the Crypt (4-2)",4.432558,57.41645436835007
25733,"Crypt of the NecroDancer","Danny Baranowsky","A Cold Sweat (3-3 Cold)",4.429508,57.41345721564514
25730,"Crypt of the NecroDancer","Danny Baranowsky","Stone Cold (3-1 Cold)",4.423077,57.4104600629402
25737,"Crypt of the NecroDancer","Danny Baranowsky","The Wight to Remain (4-3)",4.417857,57.407462910235274
25745,"Crypt of the NecroDancer","FamilyJules7x","A Dragon's Breath (3-3 Hot Remix)",4.382609,57.404465757530346
25724,"Crypt of the NecroDancer","FamilyJules7x","A Shadow to Prevail (4-3 Remix)",4.303571,57.40146860482541
25716,"The Big Blue LP","Random Encounter","Link’s Awakening Theme (Link’s Awakening, by Konami : Requested by Glenn C.)",4.288889,57.39847145212048
25736,"Crypt of the NecroDancer","Danny Baranowsky","Styx and Stones (4-1)",4.283721,57.39547429941555
25725,"Crypt of the NecroDancer","Danny Baranowsky","Rhythmortis (Lobby)",4.2774196,57.39247714671063
25744,"Crypt of the NecroDancer","Danny Baranowsky","For Whom the Knell Tolls (Dead Ringer)",4.212766,57.3894799940057
25727,"Crypt of the NecroDancer","FamilyJules7x","Fury of the Crypt (4-2 Remix)",4.188889,57.38648284130077
2572,"Star Ocean: Till the End of Time","Motoi Sakuraba","Chrysanthemum in Winter",4.16,57.38348568859584
25740,"Crypt of the NecroDancer","Danny Baranowsky, FamilyJules7x","Igneous Rock (3-1 Hot)",4.1414633,57.380488535890905
25728,"Crypt of the NecroDancer","Danny Baranowsky","Grave Throbbing (2-2)",4.14,57.377491383185976
