id,album,artist,title,rating,Current score,votescore,rankscore,scoreDiff
13724,"Zillion 2: The Tri Formation","Risa Yuki, Sega","Push / Ending",3.6974359,1063,73.948718,99.05072487165413,25.102006871654126
13158,"Pictionary","Tim Follin","Difficult",3.7066667,1063,74.133334,99.06686900648994,24.933535006489933
39201,"Eliminator","Jeroen Tel","In-Game",3.69,1063,73.8,98.64389267379161,24.843892673791615
17239,"Wonder Boy III: The Dragon's Trap","Shinichi Sakamoto","The Monster's Lair",3.7333333,1072,74.66666599999999,99.50921830099125,24.842552300991258
12790,"Turbo OutRun","Jeroen Tel","Title",3.7137256,1063,74.274512,99.09269962222724,24.818187622227242
14082,"Wizards & Warriors III","David Wise","Knight's Guild",3.7294118,1063,74.588236,99.03135190985115,24.44311590985116
15076,"NightSky","Chris Schlarb","Credits",3.7789474,1090,75.578948,99.87730457524782,24.298356575247823
38296,"Ender Lilies: Quietus of the Knights","Michael Hudak","The Glass Tower",3.7666667,1081,75.33333400000001,99.61576959090762,24.28243559090761
15667,"Tree of Knowledge ～知恵の樹～","yogurtbox","愛のテーマ / Making Love",3.762963,1072,75.25926,99.5318200897614,24.2725600897614
17557,"Indiana Jones and the Last Crusade","Tim Follin","Coronado - Ship Battle",3.7627907,1072,75.255814,99.50276064705692,24.246946647056916
14797,"Jim Power in Mutant Planet","Chris Hülsbeck","Level 4",3.738889,1063,74.77777999999999,99.00875012108101,24.230970121081015
35015,"Bomb Jack II (C64)","Mark Cooksey","BGM",3.724138,1063,74.48276,98.7052403861677,24.222480386167703
13151,"Ganbare! Golf Boys","Atsuhiro Motoyama","Memory of the Breeze",3.7189188,1054,74.378376,98.53734138387524,24.15896538387524
16389,"Kris Keyser","Kris Keyser","Only",3.7428572,1063,74.857144,98.98614833231088,24.12900433231087
34813,"Battletoads in Battlemaniacs","Mazedude","Toadwise",3.731915,1063,74.6383,98.71169804010204,24.073398040102035
39217,"Guilty Gear XX #Reload (Korea)","N.EX.T","Keeper of the Unknown",3.7333333,1063,74.66666599999999,98.64066384682445,23.97399784682446
14761,"Castlevania: The Adventure","Shigeru Fukutake, Hidehiro Funauchi, Norio Hanzawa","Death Fair",3.7260869,1054,74.521738,98.43724774789318,23.915509747893182
9893,"Punch-Out!!","Game Over","Little Mac's Confession",3.794074,1090,75.88148000000001,99.75138032352847,23.869900323528455
13563,"TwinBee 3: Poko Poko Daimaō","Atsushi Fujio, Hidehiro Funauchi, Katsuhiko Suzuki","Evening Glow of T3",3.7333333,1054,74.66666599999999,98.5147395951051,23.848073595105106
13216,"Kick Master","Takahama, Nobuyuki Shioda","Final Boss",3.7419355,1054,74.83870999999999,98.53411255690807,23.69540255690808
